1,302460.152,4123710.779
2,302498.031,4123778.922
3,302559.229,4123888.881
4,302597.449,4124014.944
5,302598.299,4124257.027
6,302495.701,4124459.58
7,302516.099,4124485.978
8,302669.79,4123758.862
9,302633.463,4123664.137
10,302532.737,4123607.308
11,302441.183,4123675.24
12,302510.383,4123785.348
13,302532.568,4123773.152
14,302549.642,4123774.268
15,302564.86,4123798.089
16,302577.922,4123821.49
17,302564.371,4123873.904
18,302509.187,4123799.074
19,302519.872,4123818.544
20,302536.983,4123849.256
21,302546.66,4123866.767
22,302496.315,4123797.31
23,302478.503,4123848.632
24,302490.735,4123870.613
25,302537.455,4123884.827
26,302495.839,4123854.870
27,302513.090,4123845.395
28,302543.352,4123828.455
29,302560.677,4123818.883
30,302493.634,4123852.089
31,302511.27,4123842.283
32,302541.432,4123825.508
33,302559.142,4123815.824
34,302464.065,4123718.214
35,302652.014,4124443.097
