1,302460.1,4123710.819
2,302499.977,4123781.980
3,302559.379,4123889.361
4,302597.449,4124014.944
5,302598.299,4124257.027
6,302495.726,4124458.504
7,302518.284,4124486.263
8,302662.447,4123709.208
9,302439.373,4123670.912
10,302454.443,4123700.766
11,302464.335,4123718.434
12,302499.977,4123781.980
13,302548.269,4123773.221
14,302578.363,4123822.324
15,302589.422,4123842.529
16,302558.472,4123816.060
17,302560.566,4123818.943
18,302537.014,4123827.797
19,302540.675,4123830.108
20,302499.977,4123781.980
21,302478.323,4123848.306
22,302495.109,4123855.331
23,302478.831,4123849.155
24,302497.290,4123854.053
